Date,Open,High,Low,Close,Adj Close,Volume
2023-06-21,8.781009,9.103288,8.758621,9.053521,9.053521,97467458
2023-06-22,9.052392,9.396024,9.015513,9.016958,9.016958,85936262
2023-06-23,9.017071,9.420940,9.003241,9.310900,9.310900,76553773
2023-06-24,9.311647,9.476909,9.145505,9.384396,9.384396,65710990
2023-06-25,9.384585,9.731333,9.371048,9.470750,9.470750,73883548
2023-06-26,9.468122,9.508577,9.134819,9.189369,9.189369,71675169
2023-06-27,9.189295,9.441313,9.180915,9.424848,9.424848,65184357
2023-06-28,9.425410,9.427251,8.989972,9.137046,9.137046,73980079
2023-06-29,9.135988,9.426686,8.991518,8.992056,8.992056,75414422
2023-06-30,8.990544,9.425287,8.856516,9.288174,9.288174,121764675
2023-07-01,9.288493,9.566513,9.183451,9.562376,9.562376,75249772
2023-07-02,9.562598,9.588063,9.367059,9.588063,9.588063,66823504
2023-07-03,9.588395,10.091978,9.573180,9.933247,9.933247,89522350
2023-07-04,9.933070,9.953171,9.655553,9.689381,9.689381,71608555
2023-07-05,9.689937,9.873757,9.279486,9.408117,9.408117,86562751
2023-07-06,9.407063,9.636024,9.117707,9.208088,9.208088,84914940
2023-07-07,9.207275,9.352851,9.126051,9.172386,9.172386,60827527
2023-07-08,9.171647,9.292819,9.105891,9.211047,9.211047,50946132
2023-07-09,9.211231,9.601075,9.196492,9.433234,9.433234,62796180
2023-07-10,9.433275,9.433275,9.200633,9.250607,9.250607,76851455
2023-07-11,9.251015,9.356283,9.165585,9.203163,9.203163,54694535
2023-07-12,9.203108,9.282750,8.990497,9.071144,9.071144,62107327
2023-07-13,9.071677,9.900477,8.955562,9.900477,9.900477,133730445
2023-07-14,9.899211,10.274750,9.455992,9.799743,9.799743,154099417
2023-07-15,9.799264,9.976281,9.659566,9.705090,9.705090,66626519
2023-07-16,9.704851,9.721322,9.365684,9.391099,9.391099,70554629
2023-07-17,9.391638,9.596649,9.192741,9.443839,9.443839,91256404
2023-07-18,9.443642,9.511021,9.160629,9.283979,9.283979,71864741
2023-07-19,9.285120,9.399918,9.143454,9.187537,9.187537,69861056
2023-07-20,9.187290,9.355948,9.147115,9.355948,9.355948,88268415
2023-07-21,9.357061,9.528327,9.321144,9.430829,9.430829,68912023
2023-07-22,9.430379,9.560622,9.210777,9.254435,9.254435,67569184
2023-07-23,9.256017,9.358909,9.244351,9.287365,9.287365,53405878
2023-07-24,9.286699,9.286917,8.927137,9.011807,9.011807,77388927
2023-07-25,9.011100,9.054698,8.932497,8.957772,8.957772,55885345
2023-07-26,8.957888,9.028436,8.833606,8.986245,8.986245,72081341
2023-07-27,8.986639,9.091496,8.870953,8.910801,8.910801,55825435
2023-07-28,8.910635,9.058720,8.865071,9.035377,9.035377,51986991
2023-07-29,9.034615,9.088896,8.989626,9.078164,9.078164,42418039
2023-07-30,9.077793,9.092732,8.883630,9.002389,9.002389,58089725
2023-07-31,9.002294,9.104853,8.798272,8.859604,8.859604,63821323
2023-08-01,8.859949,8.975648,8.667886,8.974901,8.974901,80501683
2023-08-02,8.975451,9.010386,8.708045,8.713351,8.713351,76537656
2023-08-03,8.713221,8.763098,8.599193,8.620657,8.620657,73442968
2023-08-04,8.620353,8.664805,8.391254,8.482665,8.482665,75915243
2023-08-05,8.482213,8.529473,8.369264,8.502888,8.502888,60562554
2023-08-06,8.502723,8.568501,8.451233,8.475853,8.475853,60570515
2023-08-07,8.475731,8.566097,8.300077,8.483982,8.483982,81991738
